src_ip,dst_ip,src_port,dst_port,protocol,iat_mean,pkt_size_mean,ip_flags_df,ip_flags_mf,ip_flags_rb,ip_frag_off,tcp_len_mean,ack_count,cwr_count,ece_count,fin_count,psh_count,res_count,rst_count,syn_count,urg_count,tcp_win_mean,udp_len_mean,icmp_type_mean,pkt_count,label
10.0.2.22,192.168.0.1,50798,8000,6,0.065199,6079.22,292,0,0,0,6012.57,280,0,0,1,150,0,1,24,0,3864.59,0.0,0.0,292,normal
10.0.2.23,192.168.0.1,47992,8000,6,0.068385,711.21,273,0,0,0,643.8,249,0,0,42,83,0,0,48,0,7611.01,0.0,0.0,273,normal
10.0.1.15,192.168.0.1,39794,8000,6,0.011803,116.89,1667,0,0,0,49.27,1499,0,0,332,501,0,0,336,0,8712.02,0.0,0.0,1667,normal
10.0.1.13,192.168.0.1,60216,8000,6,0.014175,5168.6,1407,0,0,0,5101.72,1329,0,0,70,663,0,0,155,0,5058.25,0.0,0.0,1407,normal
10.0.1.13,192.168.0.2,44020,3306,6,0.087699,77.42,208,0,0,0,9.35,181,0,0,54,27,0,0,54,0,11197.12,0.0,0.0,208,normal
10.0.3.33,192.168.0.1,0,0,1,0.224593,98.0,43,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,86,normal
10.0.3.33,192.168.0.2,0,0,1,0.614535,98.0,15,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,30,normal
10.0.3.31,192.168.0.1,47438,8000,6,0.074637,115.3,260,0,0,0,48.0,230,0,0,45,70,0,5,50,0,8314.3,0.0,0.0,260,normal
10.0.3.31,192.168.0.2,45920,3306,6,0.18661,76.6,83,0,0,0,8.67,73,0,0,20,10,0,0,20,0,10398.66,0.0,0.0,83,normal
10.0.1.14,192.168.0.2,0,0,1,0.583677,98.0,17,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,34,normal
10.0.1.15,192.168.0.2,49018,3306,6,0.105938,77.48,184,0,0,0,9.39,160,0,0,48,24,0,0,48,0,11250.79,0.0,0.0,184,normal
10.0.2.25,192.168.0.2,60824,3306,6,0.028183,77.04,695,0,0,0,9.01,607,0,0,173,87,0,0,176,0,10924.07,0.0,0.0,695,normal
10.0.2.25,192.168.0.1,58174,8000,6,0.160284,154.9,112,0,0,0,87.33,101,0,0,22,33,0,0,22,0,8492.32,0.0,0.0,112,normal
10.0.3.35,192.168.0.1,48018,8000,6,0.0352,5045.45,557,0,0,0,4978.62,528,0,0,28,255,0,0,58,0,4889.98,0.0,0.0,557,normal
10.0.3.35,192.168.0.2,56722,3306,6,0.305131,77.23,47,0,0,0,9.19,41,0,0,12,6,0,0,12,0,11013.21,0.0,0.0,47,normal
10.0.3.36,192.168.0.2,0,0,1,6.779888,98.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,4,normal
